,match_id,game_time,game_duration,player0,player1,player2,player3,player4,player5,player6,player7,player8,player9
0,NA1_4228082013,1645645840315,1774,Malphite,Ekko,Nasus,Kindred,Lulu,Garen,Volibear,Ryze,Jhin,Nami
1,NA1_4226091362,1645497921214,1414,Trundle,Zac,Kassadin,Lucian,Nami,Akali,Graves,Viktor,Ezreal,Leona
2,NA1_4223903549,1645346854648,1644,Jax,Graves,Veigar,Ezreal,Karma,Camille,Sylas,Pantheon,Caitlyn,Anivia
3,NA1_4223876030,1645343835739,2198,Garen,RekSai,Viktor,Jinx,Lulu,Renekton,Elise,Tryndamere,Ashe,Bard
4,NA1_4223399700,1645321082191,1797,Kayle,Shyvana,Viktor,Kaisa,Renata,Aatrox,Zed,Diana,Zeri,Lulu
5,NA1_4223382798,1645318704141,2018,Kayle,FiddleSticks,Graves,Ezreal,Bard,Malphite,Udyr,Lux,Jinx,Senna
6,NA1_4223064734,1645299495858,2328,Ornn,Graves,Vladimir,Jinx,Velkoz,Yone,Kindred,Kassadin,Ziggs,Senna
7,NA1_4222715175,1645258192107,1369,Jax,Qiyana,Kassadin,Twitch,Thresh,Poppy,Diana,Sylas,Kaisa,Senna
8,NA1_4222701567,1645256512648,1361,Chogath,Diana,Sylas,Tristana,Taric,Sett,Sejuani,Kassadin,Varus,Alistar
9,NA1_4222654857,1645254152941,1977,Quinn,Graves,Syndra,Ezreal,Karma,MonkeyKing,XinZhao,Vex,Jhin,Thresh
10,NA1_4222565996,1645251008328,2197,Akshan,FiddleSticks,Katarina,Draven,Nautilus,Sion,Olaf,Ahri,Lucian,Renata
11,NA1_4222547653,1645248974717,1626,Shen,Graves,Cassiopeia,Zeri,Yuumi,Urgot,FiddleSticks,Vex,Samira,Rakan
12,NA1_4222485260,1645245608506,1743,Akali,Zed,Sylas,Jhin,Thresh,Olaf,Elise,Diana,Jinx,Janna
13,NA1_4221984371,1645217719632,1784,Darius,XinZhao,Viktor,Caitlyn,Blitzcrank,Pantheon,Kayn,Akali,Ezreal,Brand
14,NA1_4221960944,1645215863551,1327,Karma,Graves,Singed,Jinx,Renata,Vayne,Kindred,Nidalee,Ezreal,Leona
15,NA1_4221904815,1645212673894,2610,Rumble,Kayn,Talon,Zeri,Nami,Irelia,Graves,Ahri,Jinx,Lux
16,NA1_4221060472,1645154529039,1669,Twitch,Diana,Vex,Lucian,Alistar,Sion,Graves,Kassadin,Jinx,Karma
17,NA1_4224853417,1645406775614,1211,Irelia,Kayn,Syndra,Ezreal,Nautilus,Gangplank,Hecarim,Veigar,Jinx,Karma
18,NA1_4223931477,1645346307693,2342,Irelia,Graves,Yuumi,Ezreal,Rakan,Akali,Gwen,Zyra,Kaisa,Pyke
19,NA1_4221338045,1645174288083,1958,Jayce,JarvanIV,Corki,Ashe,Yuumi,Irelia,Jax,Pyke,Caitlyn,Lux
20,NA1_4221374458,1645172361466,1564,Aatrox,JarvanIV,Viktor,Vayne,Yuumi,Volibear,Nidalee,Akali,Twitch,Thresh
21,NA1_4221350599,1645170203184,1769,Shen,XinZhao,Orianna,Vayne,Soraka,Heimerdinger,Khazix,Yasuo,Caitlyn,Nautilus
22,NA1_4221263405,1645166943637,1724,Irelia,Diana,Yasuo,Seraphine,Sona,Gwen,XinZhao,Viktor,Jinx,Nautilus
23,NA1_4220306578,1645090519224,2325,Senna,,,,,Lulu,,,,
